draft_season,overall_pick,resolution,cfbd_player_id,reason,evidence
2013,37,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=giovani bernard; candidate_count=0; candidate_cfbd_ids=none
2013,55,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=vance mcdonald; candidate_count=0; candidate_cfbd_ids=none
2013,123,quarantine,,multiple_exact_name_position_candidates,RR-05 live identity review: normalized_name=chris harper; candidate_count=2; candidate_cfbd_ids=487950|535265
2013,130,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=kyle juszczyk; candidate_count=0; candidate_cfbd_ids=none
2013,131,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=marcus lattimore; candidate_count=0; candidate_cfbd_ids=none
2013,135,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=denard robinson; candidate_count=0; candidate_cfbd_ids=none
2013,161,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=tavarres king; candidate_count=0; candidate_cfbd_ids=none
2013,171,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=corey fuller; candidate_count=0; candidate_cfbd_ids=none
2013,195,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=alan bonner; candidate_count=0; candidate_cfbd_ids=none
2013,215,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=tommy bohanon; candidate_count=0; candidate_cfbd_ids=none
2013,216,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=charles johnson; candidate_count=0; candidate_cfbd_ids=none
2013,221,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=brad sorensen; candidate_count=0; candidate_cfbd_ids=none
2013,238,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=aaron mellette; candidate_count=0; candidate_cfbd_ids=none
2014,54,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=bishop sankey; candidate_count=0; candidate_cfbd_ids=none
2014,91,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=john brown; candidate_count=0; candidate_cfbd_ids=none
2014,94,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=terrance west; candidate_count=0; candidate_cfbd_ids=none
2014,96,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jerick mckinnon; candidate_count=0; candidate_cfbd_ids=none
2014,97,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=dri archer; candidate_count=0; candidate_cfbd_ids=none
2014,98,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=richard rodgers; candidate_count=0; candidate_cfbd_ids=none
2014,115,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=shaquelle evans; candidate_count=0; candidate_cfbd_ids=none
2014,130,quarantine,,multiple_exact_name_position_candidates,RR-05 live identity review: normalized_name=james white; candidate_count=2; candidate_cfbd_ids=480696|503422
2014,138,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=lorenzo taliaferro; candidate_count=0; candidate_cfbd_ids=none
2014,164,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=a j mccarron; candidate_count=0; candidate_cfbd_ids=none
2014,189,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=t j jones; candidate_count=0; candidate_cfbd_ids=none
2014,196,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=walt powell; candidate_count=0; candidate_cfbd_ids=none
2014,218,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=michael campanaro; candidate_count=0; candidate_cfbd_ids=none
2014,227,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=kiero small; candidate_count=0; candidate_cfbd_ids=none
2014,236,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jeff janis; candidate_count=0; candidate_cfbd_ids=none
2014,239,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=james wright; candidate_count=0; candidate_cfbd_ids=none
